lat,lon,severity,year,hour,casualties,injuries,vehicle_type,day_type
6.436915,2.464046,Fatal,2022,5,1,1,Motorcycle,Weekday
6.373365,2.46379,Property Damage,2024,8,0,0,Bus/Truck,Weekend
6.406271,2.450072,Property Damage,2023,6,0,0,Car,Weekday
6.412196,2.450229,Property Damage,2020,13,0,0,Motorcycle,Weekday
6.38879,2.436218,Serious Injury,2021,9,0,3,Car,Weekend
6.381606,2.44181,Minor Injury,2020,18,0,2,Car,Weekday
6.40669,2.453529,Property Damage,2020,3,0,0,Motorcycle,Weekend
6.414087,2.444507,Property Damage,2020,16,0,0,Car,Weekday
6.392618,2.459897,Property Damage,2020,13,0,0,Car,Weekday
6.436703,2.458699,Property Damage,2022,20,0,0,Car,Weekday
6.390503,2.440052,Property Damage,2022,5,0,0,Motorcycle,Weekday
6.403978,2.442073,Serious Injury,2022,16,0,3,Motorcycle,Weekend
6.409588,2.452478,Minor Injury,2022,17,0,2,Motorcycle,Weekday
6.401402,2.440628,Property Damage,2024,12,0,0,Motorcycle,Weekday
6.407772,2.45781,Property Damage,2020,21,0,0,Motorcycle,Weekend
6.406114,2.441852,Minor Injury,2024,17,0,2,Motorcycle,Weekday
6.438625,2.461603,Serious Injury,2023,17,0,2,Bicycle,Weekday
6.393878,2.456721,Serious Injury,2022,8,0,1,Bicycle,Weekday
6.391209,2.488536,Property Damage,2024,19,0,0,Motorcycle,Weekday
6.411414,2.451874,Minor Injury,2024,12,0,2,Car,Weekday
6.410044,2.448893,Fatal,2020,9,3,0,Motorcycle,Weekday
6.404085,2.399304,Serious Injury,2020,17,0,3,Motorcycle,Weekday
6.37438,2.423782,Property Damage,2021,5,0,0,Bicycle,Weekday
6.405185,2.456301,Property Damage,2020,7,0,0,Bicycle,Weekday
6.41207,2.451665,Property Damage,2020,7,0,0,Car,Weekday
6.410825,2.454285,Serious Injury,2023,16,0,1,Motorcycle,Weekday
6.382316,2.434495,Serious Injury,2024,7,0,3,Bus/Truck,Weekend
6.392649,2.459879,Minor Injury,2021,14,0,1,Motorcycle,Weekend
6.406668,2.453104,Serious Injury,2021,10,0,2,Bicycle,Weekday
6.409719,2.450269,Minor Injury,2023,6,0,2,Motorcycle,Weekday
6.41033,2.459937,Minor Injury,2021,17,0,1,Bus/Truck,Weekday
6.436763,2.461301,Minor Injury,2023,13,0,2,Bus/Truck,Weekday
6.407691,2.443744,Serious Injury,2023,18,0,1,Car,Weekend
6.401575,2.436445,Minor Injury,2022,17,0,1,Motorcycle,Weekend
6.404801,2.448754,Property Damage,2020,8,0,0,Car,Weekday
6.40459,2.391618,Property Damage,2024,3,0,0,Motorcycle,Weekday
6.406042,2.444487,Serious Injury,2022,9,0,3,Car,Weekday
6.390983,2.428269,Serious Injury,2022,6,0,3,Car,Weekday
6.399544,2.479951,Minor Injury,2020,19,0,1,Motorcycle,Weekday
6.388954,2.445003,Serious Injury,2024,12,0,1,Motorcycle,Weekday
6.415724,2.45241,Minor Injury,2022,12,0,1,Motorcycle,Weekend
6.382563,2.434954,Property Damage,2023,20,0,0,Motorcycle,Weekend
6.401887,2.455809,Property Damage,2021,9,0,0,Bicycle,Weekday
6.389859,2.439405,Minor Injury,2023,6,0,2,Motorcycle,Weekday
6.434514,2.459,Property Damage,2021,17,0,0,Motorcycle,Weekday
6.446883,2.476445,Property Damage,2022,10,0,0,Motorcycle,Weekday
6.408393,2.442037,Serious Injury,2020,13,0,1,Car,Weekday
6.40222,2.442953,Serious Injury,2021,6,0,2,Motorcycle,Weekend
6.421827,2.440648,Property Damage,2023,13,0,0,Car,Weekday
6.387538,2.464586,Property Damage,2022,8,0,0,Car,Weekday
6.428798,2.41607,Minor Injury,2023,7,0,2,Motorcycle,Weekday
6.434184,2.401364,Fatal,2024,3,1,2,Motorcycle,Weekday
6.405324,2.43973,Minor Injury,2022,8,0,1,Motorcycle,Weekday
6.393732,2.439646,Property Damage,2024,17,0,0,Motorcycle,Weekday
6.407723,2.451073,Property Damage,2024,22,0,0,Motorcycle,Weekday
6.410885,2.450136,Property Damage,2024,10,0,0,Bicycle,Weekend
6.38741,2.445506,Minor Injury,2024,18,0,2,Bus/Truck,Weekday
6.386158,2.445099,Minor Injury,2022,14,0,2,Motorcycle,Weekend
6.449764,2.439491,Minor Injury,2021,19,0,1,Motorcycle,Weekday
6.386389,2.444016,Property Damage,2021,17,0,0,Motorcycle,Weekday
6.407476,2.43882,Minor Injury,2024,6,0,2,Car,Weekday
6.439347,2.457122,Minor Injury,2020,15,0,2,Motorcycle,Weekday
6.390768,2.4785,Property Damage,2021,4,0,0,Car,Weekday
6.436616,2.461457,Fatal,2023,17,2,0,Car,Weekday
6.435814,2.460547,Minor Injury,2023,19,0,2,Car,Weekday
6.437649,2.455059,Minor Injury,2022,9,0,2,Car,Weekend
6.450273,2.409772,Minor Injury,2021,6,0,2,Car,Weekday
6.429165,2.419303,Minor Injury,2021,18,0,1,Motorcycle,Weekday
6.40273,2.434804,Property Damage,2021,12,0,0,Motorcycle,Weekday
6.434752,2.445594,Property Damage,2024,5,0,0,Motorcycle,Weekday
6.413628,2.452014,Minor Injury,2024,12,0,2,Car,Weekday
6.409583,2.448931,Serious Injury,2022,14,0,1,Motorcycle,Weekend
6.408651,2.453763,Fatal,2023,8,1,2,Bus/Truck,Weekday
6.447967,2.463871,Serious Injury,2023,21,0,3,Car,Weekday
6.393915,2.443856,Serious Injury,2020,7,0,1,Bus/Truck,Weekend
6.404922,2.442725,Property Damage,2024,17,0,0,Motorcycle,Weekend
6.439584,2.461348,Minor Injury,2024,21,0,2,Car,Weekday
6.391084,2.440588,Property Damage,2023,15,0,0,Car,Weekday
6.375124,2.444023,Property Damage,2023,18,0,0,Car,Weekday
6.434714,2.459282,Serious Injury,2020,10,0,1,Car,Weekday
6.400064,2.408842,Minor Injury,2022,9,0,1,Bus/Truck,Weekday
6.431564,2.460589,Property Damage,2024,0,0,0,Car,Weekday
6.388465,2.442077,Serious Injury,2023,7,0,3,Bicycle,Weekday
6.426399,2.407366,Serious Injury,2021,6,0,1,Motorcycle,Weekday
6.407557,2.442797,Minor Injury,2024,8,0,2,Motorcycle,Weekend
6.38282,2.44231,Minor Injury,2024,19,0,1,Motorcycle,Weekday
6.409861,2.453228,Minor Injury,2022,10,0,2,Car,Weekday
6.405903,2.444252,Minor Injury,2020,14,0,2,Car,Weekend
6.395913,2.422137,Property Damage,2021,18,0,0,Motorcycle,Weekday
6.408156,2.44192,Property Damage,2021,4,0,0,Car,Weekday
6.447403,2.461128,Minor Injury,2020,8,0,1,Bicycle,Weekday
6.411984,2.449868,Minor Injury,2022,19,0,1,Motorcycle,Weekday
6.395717,2.442403,Property Damage,2023,20,0,0,Car,Weekday
6.413333,2.439997,Serious Injury,2020,16,0,3,Car,Weekday
6.409199,2.399804,Serious Injury,2024,14,0,2,Motorcycle,Weekend
6.393,2.463209,Property Damage,2020,6,0,0,Motorcycle,Weekday
6.386501,2.443146,Serious Injury,2023,16,0,3,Bicycle,Weekday
6.402477,2.438339,Property Damage,2021,12,0,0,Motorcycle,Weekday
6.38896,2.458096,Property Damage,2022,21,0,0,Bus/Truck,Weekday
6.440152,2.463782,Minor Injury,2022,16,0,2,Bicycle,Weekday
6.401663,2.454658,Serious Injury,2020,10,0,3,Car,Weekday
6.389322,2.463383,Serious Injury,2024,11,0,3,Bus/Truck,Weekend
6.393146,2.462221,Minor Injury,2023,18,0,2,Motorcycle,Weekend
6.422529,2.395637,Property Damage,2024,17,0,0,Motorcycle,Weekday
6.395216,2.459973,Property Damage,2021,11,0,0,Motorcycle,Weekday
6.391374,2.462033,Serious Injury,2022,23,0,2,Motorcycle,Weekday
6.375353,2.443087,Minor Injury,2021,12,0,1,Motorcycle,Weekday
6.425809,2.41318,Property Damage,2021,12,0,0,Motorcycle,Weekday
6.401861,2.437323,Minor Injury,2021,23,0,1,Car,Weekday
6.369282,2.422847,Minor Injury,2023,18,0,2,Motorcycle,Weekday
6.412701,2.456666,Property Damage,2024,7,0,0,Motorcycle,Weekday
6.443382,2.431052,Fatal,2021,17,2,0,Bus/Truck,Weekend
6.413428,2.447147,Minor Injury,2020,7,0,1,Bicycle,Weekend
6.389694,2.464757,Property Damage,2023,19,0,0,Car,Weekday
6.39517,2.446092,Fatal,2023,18,3,0,Motorcycle,Weekend
6.410265,2.44778,Property Damage,2020,12,0,0,Motorcycle,Weekday
6.391368,2.442531,Fatal,2024,6,3,2,Bus/Truck,Weekday
6.388199,2.455062,Serious Injury,2024,10,0,1,Motorcycle,Weekend
6.403524,2.44422,Property Damage,2022,13,0,0,Motorcycle,Weekday
6.427561,2.432914,Property Damage,2022,20,0,0,Car,Weekday
6.436298,2.460791,Property Damage,2023,7,0,0,Car,Weekday
6.394087,2.463833,Fatal,2022,8,2,0,Motorcycle,Weekday
6.408432,2.442514,Property Damage,2023,21,0,0,Motorcycle,Weekday
6.434576,2.44529,Serious Injury,2022,6,0,2,Bus/Truck,Weekend
6.38286,2.395503,Serious Injury,2023,8,0,2,Car,Weekday
6.391016,2.42199,Property Damage,2020,7,0,0,Bus/Truck,Weekend
6.410721,2.449237,Property Damage,2022,11,0,0,Motorcycle,Weekday
6.402701,2.435949,Fatal,2024,14,1,0,Motorcycle,Weekend
6.407764,2.441512,Fatal,2024,21,1,0,Motorcycle,Weekday
6.433165,2.463686,Minor Injury,2024,0,0,1,Motorcycle,Weekday
6.442169,2.470716,Property Damage,2020,15,0,0,Motorcycle,Weekend
6.407439,2.444599,Serious Injury,2022,19,0,2,Motorcycle,Weekday
6.424096,2.3969,Property Damage,2021,13,0,0,Motorcycle,Weekend
6.395635,2.438246,Property Damage,2023,20,0,0,Car,Weekend
6.403217,2.459301,Minor Injury,2020,1,0,1,Motorcycle,Weekday
6.406416,2.439777,Property Damage,2020,6,0,0,Motorcycle,Weekday
6.404505,2.437816,Property Damage,2024,9,0,0,Motorcycle,Weekday
6.416313,2.395924,Property Damage,2022,17,0,0,Bicycle,Weekday
6.408698,2.451674,Minor Injury,2024,16,0,2,Motorcycle,Weekend
6.39306,2.444628,Minor Injury,2022,7,0,2,Car,Weekday
6.388867,2.460918,Minor Injury,2021,18,0,2,Car,Weekday
6.412141,2.407358,Fatal,2021,18,3,1,Motorcycle,Weekday
6.436824,2.458495,Property Damage,2022,12,0,0,Motorcycle,Weekday
6.391382,2.458513,Serious Injury,2020,7,0,1,Motorcycle,Weekday
6.427232,2.480932,Minor Injury,2022,9,0,2,Motorcycle,Weekday
6.433332,2.45965,Property Damage,2022,12,0,0,Car,Weekday
6.387946,2.440551,Property Damage,2022,15,0,0,Motorcycle,Weekday
6.410611,2.455336,Property Damage,2020,14,0,0,Motorcycle,Weekday
6.401246,2.428571,Property Damage,2020,19,0,0,Bus/Truck,Weekend
6.367126,2.460282,Serious Injury,2020,11,0,3,Bicycle,Weekend
6.448699,2.411812,Minor Injury,2021,16,0,2,Car,Weekday
6.442634,2.448383,Minor Injury,2022,13,0,1,Motorcycle,Weekday
6.378212,2.426944,Serious Injury,2024,16,0,2,Motorcycle,Weekday
6.437215,2.46368,Minor Injury,2020,8,0,1,Bus/Truck,Weekday
6.388675,2.436322,Fatal,2023,16,2,2,Bus/Truck,Weekend
6.410723,2.445079,Serious Injury,2021,8,0,1,Motorcycle,Weekday
6.411733,2.447588,Fatal,2022,15,3,1,Bicycle,Weekend
6.432681,2.458971,Serious Injury,2021,16,0,2,Motorcycle,Weekday
6.388931,2.445676,Property Damage,2024,9,0,0,Car,Weekday
6.41106,2.451905,Serious Injury,2020,10,0,3,Motorcycle,Weekday
6.386313,2.450765,Minor Injury,2021,8,0,1,Car,Weekday
6.437102,2.440824,Fatal,2023,10,1,0,Motorcycle,Weekend
6.387437,2.440259,Property Damage,2023,15,0,0,Bus/Truck,Weekday
6.371289,2.419207,Serious Injury,2023,16,0,1,Bus/Truck,Weekday
6.392934,2.442396,Property Damage,2022,14,0,0,Motorcycle,Weekday
6.413651,2.469733,Property Damage,2022,10,0,0,Motorcycle,Weekend
6.403128,2.457783,Serious Injury,2021,11,0,2,Bus/Truck,Weekday
6.409649,2.448178,Serious Injury,2023,16,0,1,Motorcycle,Weekend
6.379013,2.459308,Property Damage,2024,21,0,0,Motorcycle,Weekday
6.394864,2.440662,Minor Injury,2022,12,0,1,Motorcycle,Weekday
6.41003,2.444938,Serious Injury,2020,6,0,3,Car,Weekday
6.40553,2.411553,Fatal,2020,7,1,2,Car,Weekday
6.421039,2.397664,Serious Injury,2020,15,0,2,Car,Weekend
6.404958,2.462972,Minor Injury,2024,8,0,2,Bus/Truck,Weekend
6.415598,2.457213,Property Damage,2022,14,0,0,Car,Weekday
6.396207,2.44138,Minor Injury,2024,10,0,2,Motorcycle,Weekday
6.43232,2.461354,Minor Injury,2021,7,0,1,Motorcycle,Weekend
6.390331,2.458984,Minor Injury,2022,7,0,2,Car,Weekday
6.40494,2.428546,Serious Injury,2020,15,0,1,Motorcycle,Weekday
6.387511,2.397906,Property Damage,2020,18,0,0,Motorcycle,Weekday
6.434611,2.451811,Property Damage,2024,6,0,0,Car,Weekend
6.432168,2.456358,Serious Injury,2024,13,0,2,Motorcycle,Weekday
6.437838,2.461496,Property Damage,2024,17,0,0,Car,Weekday
6.390287,2.399864,Minor Injury,2021,8,0,1,Car,Weekday
6.406637,2.450978,Serious Injury,2023,4,0,3,Car,Weekday
6.404155,2.44188,Serious Injury,2021,16,0,2,Motorcycle,Weekday
6.385788,2.439432,Serious Injury,2022,21,0,3,Car,Weekend
6.434928,2.464183,Minor Injury,2023,13,0,2,Motorcycle,Weekend
6.394298,2.440759,Property Damage,2023,10,0,0,Bus/Truck,Weekday
6.407294,2.43993,Minor Injury,2024,6,0,2,Motorcycle,Weekday
6.403015,2.450042,Serious Injury,2022,17,0,1,Motorcycle,Weekday
6.420537,2.475243,Property Damage,2021,7,0,0,Motorcycle,Weekend
6.376326,2.418905,Serious Injury,2023,21,0,2,Motorcycle,Weekday
6.394456,2.456773,Property Damage,2022,15,0,0,Motorcycle,Weekday
6.436368,2.458777,Minor Injury,2020,8,0,2,Motorcycle,Weekday
6.391534,2.439901,Minor Injury,2020,23,0,1,Car,Weekend
6.433603,2.45873,Property Damage,2020,17,0,0,Motorcycle,Weekend
6.392875,2.438385,Property Damage,2023,12,0,0,Motorcycle,Weekday
6.387193,2.441309,Minor Injury,2020,18,0,2,Car,Weekend
6.401952,2.436076,Serious Injury,2020,5,0,2,Car,Weekday
6.409244,2.437637,Minor Injury,2021,11,0,2,Motorcycle,Weekday
6.377844,2.461266,Minor Injury,2022,15,0,1,Motorcycle,Weekday
6.439534,2.418979,Property Damage,2022,18,0,0,Car,Weekend
6.434375,2.463876,Minor Injury,2022,16,0,2,Car,Weekday
6.443079,2.438702,Property Damage,2022,19,0,0,Motorcycle,Weekday
6.408426,2.402742,Fatal,2022,18,1,2,Bicycle,Weekday
6.438988,2.465831,Property Damage,2023,17,0,0,Motorcycle,Weekday
6.43832,2.451982,Minor Injury,2020,16,0,2,Car,Weekday
6.435609,2.458559,Fatal,2020,18,1,1,Bicycle,Weekday
6.434841,2.460538,Property Damage,2024,12,0,0,Motorcycle,Weekday
6.432535,2.460956,Minor Injury,2021,12,0,2,Motorcycle,Weekday
6.429426,2.462779,Property Damage,2024,9,0,0,Car,Weekend
6.394734,2.439797,Property Damage,2021,12,0,0,Motorcycle,Weekend
6.426844,2.462276,Property Damage,2021,15,0,0,Motorcycle,Weekend
6.410282,2.447413,Serious Injury,2024,10,0,2,Motorcycle,Weekend
6.393267,2.445124,Property Damage,2022,10,0,0,Motorcycle,Weekday
6.408963,2.441395,Property Damage,2020,5,0,0,Motorcycle,Weekday
6.438715,2.451248,Serious Injury,2020,12,0,2,Car,Weekend
6.434304,2.416937,Minor Injury,2022,17,0,2,Motorcycle,Weekday
6.406994,2.43614,Minor Injury,2022,9,0,2,Car,Weekend
6.391498,2.426027,Property Damage,2023,15,0,0,Motorcycle,Weekend
6.402944,2.423444,Minor Injury,2020,22,0,1,Car,Weekend
6.433872,2.46111,Minor Injury,2022,15,0,2,Motorcycle,Weekend
6.433936,2.447522,Minor Injury,2021,10,0,2,Bicycle,Weekend
6.390564,2.437806,Property Damage,2022,17,0,0,Motorcycle,Weekend
6.446489,2.444679,Serious Injury,2024,10,0,3,Motorcycle,Weekday
6.40229,2.441594,Serious Injury,2020,22,0,1,Motorcycle,Weekday
6.388849,2.4033,Minor Injury,2021,9,0,1,Motorcycle,Weekday
6.417944,2.392552,Minor Injury,2021,9,0,1,Car,Weekday
6.424458,2.408041,Property Damage,2024,9,0,0,Bicycle,Weekend
6.411236,2.444208,Property Damage,2020,9,0,0,Bus/Truck,Weekend
6.447069,2.405061,Minor Injury,2024,22,0,2,Bus/Truck,Weekday
6.432175,2.45976,Minor Injury,2022,12,0,1,Car,Weekday
6.443781,2.439099,Minor Injury,2023,19,0,2,Car,Weekend
6.416395,2.459497,Property Damage,2023,8,0,0,Bicycle,Weekday
6.401649,2.455144,Fatal,2023,10,3,1,Car,Weekend
6.389904,2.419815,Minor Injury,2021,15,0,2,Car,Weekday
6.391975,2.410775,Property Damage,2023,4,0,0,Motorcycle,Weekend
6.43944,2.459672,Property Damage,2024,19,0,0,Motorcycle,Weekend
6.408639,2.449741,Property Damage,2020,23,0,0,Car,Weekday
6.436076,2.462602,Minor Injury,2022,18,0,2,Car,Weekday
6.38653,2.458104,Property Damage,2020,4,0,0,Bicycle,Weekday
6.4359,2.439927,Property Damage,2023,18,0,0,Motorcycle,Weekday
6.41222,2.441895,Property Damage,2023,10,0,0,Car,Weekday
6.404791,2.440667,Minor Injury,2020,19,0,2,Motorcycle,Weekday
6.411977,2.455397,Property Damage,2020,9,0,0,Bus/Truck,Weekday
6.38669,2.45877,Serious Injury,2022,16,0,3,Motorcycle,Weekend
6.401528,2.442785,Minor Injury,2023,17,0,2,Car,Weekend
6.429636,2.462509,Minor Injury,2020,21,0,1,Motorcycle,Weekday
6.410872,2.464342,Serious Injury,2023,15,0,2,Motorcycle,Weekday
6.388144,2.436342,Property Damage,2023,7,0,0,Motorcycle,Weekend
6.43215,2.463063,Property Damage,2023,7,0,0,Motorcycle,Weekday
6.395434,2.445048,Serious Injury,2022,9,0,3,Motorcycle,Weekday
6.438102,2.439102,Serious Injury,2021,18,0,3,Motorcycle,Weekday
6.388427,2.458195,Serious Injury,2021,21,0,2,Motorcycle,Weekday
6.388702,2.448026,Property Damage,2020,8,0,0,Car,Weekday
6.39414,2.458574,Minor Injury,2023,9,0,1,Motorcycle,Weekday
6.404447,2.452873,Minor Injury,2021,18,0,2,Motorcycle,Weekday
6.389782,2.443062,Minor Injury,2020,19,0,1,Bicycle,Weekday
6.439911,2.460742,Minor Injury,2020,13,0,1,Motorcycle,Weekday
6.436636,2.442607,Minor Injury,2021,19,0,2,Motorcycle,Weekday
6.385701,2.442279,Minor Injury,2021,10,0,1,Car,Weekend
6.391389,2.406305,Fatal,2022,18,3,2,Car,Weekday
6.393518,2.44151,Property Damage,2020,18,0,0,Bus/Truck,Weekend
6.433592,2.465751,Minor Injury,2020,17,0,1,Car,Weekday
6.405057,2.413101,Minor Injury,2024,2,0,1,Motorcycle,Weekday
6.407513,2.440051,Serious Injury,2022,20,0,1,Car,Weekday
6.434901,2.466463,Property Damage,2022,11,0,0,Bus/Truck,Weekday
6.407714,2.459389,Fatal,2023,15,1,0,Motorcycle,Weekday
6.388835,2.459703,Minor Injury,2022,17,0,1,Bicycle,Weekday
6.434975,2.472893,Minor Injury,2021,8,0,2,Bus/Truck,Weekend
6.391709,2.440108,Property Damage,2023,7,0,0,Car,Weekend
6.43648,2.458589,Property Damage,2021,13,0,0,Motorcycle,Weekday
6.40563,2.39539,Minor Injury,2022,19,0,1,Bus/Truck,Weekend
6.409899,2.448779,Property Damage,2024,8,0,0,Car,Weekday
6.428159,2.415912,Minor Injury,2024,7,0,1,Motorcycle,Weekday
6.409623,2.442812,Minor Injury,2020,23,0,1,Car,Weekday
